ITSC_ID, G(x), G(y), G(z), G(calibrated),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(℃),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Intake Air Temperature(℃),Relative Throttle Position(%),Throttle Position(Manifold)(%),Timing Advance(°),ACC_Y(m/s^2),ACC_Z(m/s^2),ENV1,ENV2,ENV_SPEED_LIMIT(km/h),DELTA_THETA(°),ACC_X(m/s),Speed (OBD)(km/h)
0,-0.93345886,9.58262253,2.72313714,0.03894609,55.29411697,0.04490272,21.17647171,35.68627548,14.21369839,85,66.66666412,32.54901886,2392.75,45,4.70588255,21.96078491,32,-0.448,9.96,0,-0.0552,25,0.294,1.11,34
0,-0.93345886,9.58262253,2.72313714,0.03894609,54.11764908,0.04490272,20.7843132,34.90196228,14.21369839,85,54.50980377,32.54901886,2392.75,45,3.92156863,21.17647171,39,-0.318,9.9,0,0.0388,25,0.13,0,36
0,-0.93345886,9.58262253,2.72313714,0.03894609,54.11764908,0.04490272,20.7843132,34.90196228,14.21369839,85,44.70588303,27.45098114,2407.75,45,3.92156863,21.17647171,40.5,0.225,9.65,0,0.156,25,0.542,0,36
0,-0.93345886,9.58262253,2.72313714,0.03894609,52.54901886,0.04490272,19.2156868,33.72549057,14.21369839,85,44.70588303,15.29411793,2407.75,45,3.13725495,20,40.5,0.927,9.41,0.0309136,0.156,25,0.703,0,36
0,-0.93345886,9.58262253,2.72313714,0.03894609,50.19607925,0.04490272,19.2156868,33.72549057,14.21369839,85,28.23529434,15.29411793,2343.75,45,0.78431374,18.03921509,43,0.951,9.41,0.618272,0.203,25,0.0237,0,36
0,-1.0850935,8.91366386,4.57299042,0.0462026,50.19607925,0.04239672,18.8235302,33.33333206,14.21369839,85,23.13725471,12.94117641,2260,45,0.78431374,18.03921509,17,1.24,9.11,0.27889,0.0858,25,0.286,-0.556,36
0,-0.57166123,9.07113647,4.88104963,0.07066447,49.01960754,0.03273098,16.07843208,30.58823586,14.21369839,85,23.13725471,10.98039246,2132.75,45,0,16.86274529,17,0.539,8.99,5.5778,0.0858,25,-0.698,0,35
0,-0.748743,8.77445316,4.74393511,0.03865618,49.01960754,0.00486446,16.07843208,30.58823586,14.21369839,85,23.13725471,10.98039246,2132.75,45,0,16.47058868,20.5,0.546,8.81,0.27889,-0.0552,25,0.00721,-1.67,35
0,-0.88001996,9.12726974,4.79917002,0.07400161,48.62745285,0.0283488,16.07843208,30.98039246,14.21369839,85,23.13725471,9.8039217,1905.25,45,0,16.47058868,20.5,-0.359,8.81,5.6087136,-0.0787,25,-0.905,0,32
0,-0.9951306,8.90932274,4.82551527,0.05681425,48.62745285,0.0381688,17.25490189,31.76470566,14.21369839,85,23.13725471,10.5882349,1905.25,45,0,16.47058868,16.5,-0.512,8.81,1.391112,-0.126,25,-0.153,-1.67,32
0,-1.03464842,8.96785164,4.73824692,0.05827469,48.62745285,0.03596802,17.25490189,31.76470566,14.21369839,85,24.31372643,10.5882349,1738.25,45,0,16.47058868,21.5,-0.817,9.05,15.4568,-0.196,25,-0.306,-0.556,29
0,-1.71827686,8.6729641,4.24801636,0.01890808,48.62745285,0.05857054,17.25490189,32.15686417,14.21369839,85,25.49019623,11.76470566,1572.5,45,0,16.47058868,21.5,-1.24,9.24,0.12321,-0.146,25,-0.425,-2.78,28
1,-1.39300323,9.16394329,4.15101814,0.05429476,49.01960754,0.03564851,15.68627453,30.58823586,14.21369839,85,39.2156868,25.88235283,850.75,45,0,16.86274529,19,-0.909,8.97,2.4642,-0.106,25,0.243,0,23
1,-0.94333833,8.53959179,4.72851706,0.01867408,49.01960754,-0.02382351,15.68627453,30.58823586,14.21369839,85,43.13725662,25.88235283,850.75,45,0,16.86274529,16,-0.676,8.95,0.27889,-0.0244,25,0.233,-1.11,23
1,-1.22984254,8.63928413,5.46708107,0.06860434,49.01960754,0.0490901,15.29411793,30.19607925,14.21369839,85,43.13725662,25.49019623,892.75,45,0,16.86274529,16,-0.156,8.73,5.5778,-0.0447,25,0.52,0,21
1,-1.18134344,8.85124397,5.56422901,0.09152204,49.01960754,0.06183008,15.29411793,30.19607925,14.21369839,85,44.70588303,25.49019623,892.75,45,0,16.86274529,17.5,-0.294,8.67,0.27889,-0.0854,25,-0.138,-1.67,21
1,-1.32205081,8.78328514,5.20183277,0.06827074,49.01960754,0.039605,15.29411793,30.58823586,14.21369839,84,40.7843132,21.1764698,1004.5,45,0,16.86274529,19.5,-0.565,8.69,6.35064,-0.0447,25,-0.271,0,18
1,-1.23732698,8.49124241,5.97257996,0.0847339,49.01960754,0.06392629,15.29411793,30.58823586,14.21369839,84,40.7843132,23.13725471,932,45,0,16.86274529,19.5,-0.295,8.69,15.4568,-0.0854,25,0.27,-1.67,18
1,-1.18014586,8.28527069,5.9676404,0.06677526,49.01960754,0.0546801,15.29411793,30.58823586,14.21369839,84,41.17647171,23.13725471,932,45,0,16.86274529,18,-0.563,8.88,1.10889,-0.0244,25,-0.268,-2.78,15
1,-1.20304823,8.77699852,5.07564497,0.05978018,49.01960754,0.03905427,15.29411793,30.58823586,14.21369839,84,44.31372452,25.88235283,844.5,45,0,16.86274529,18,-0.157,8.95,22.2087136,0.0163,25,0.406,0,10
1,-1.29046643,8.96096516,4.76234674,0.06176978,49.01960754,0.04312604,15.29411793,30.58823586,14.21369839,84,44.31372452,25.49019623,844.5,45,0,16.86274529,15.5,0.105,9.16,0.618272,-0.0244,25,0.262,-3.33,10
1,-1.39554799,9.45523739,3.48445415,0.02839333,49.01960754,0.00973823,15.29411793,30.58823586,14.21369839,84,44.70588303,25.49019623,849,45,0,16.86274529,15.5,-0.152,9.25,16.384,-0.00402,25,-0.257,-0.556,4
1,-1.32549357,9.10975647,3.67141533,0.03135127,49.01960754,0.0059872,15.29411793,30.58823586,14.21369839,84,44.70588303,24.70588303,867,45,0,16.86274529,13.5,-0.0249,9.44,327.68,-0.0651,25,0.128,0,3
1,-1.25499022,9.1844511,3.69506598,0.03623861,49.01960754,0.00317825,15.29411793,30.58823586,14.21369839,84,44.70588303,24.70588303,867,45,0,16.86274529,13.5,-0.395,9.27,0.0309136,-0.403,25,-0.37,12.8,3
2,-1.35124004,9.24507523,3.78188562,0.04649013,55.29411697,0.03047559,21.17647171,35.68627548,14.06866074,85,68.62744904,42.74509811,1704.5,46,4.70588255,21.17647171,24,-2.49,9.27,0.618272,-0.972,25,-2.01,0,26
2,-1.35124004,9.24507523,3.78188562,0.04649013,58.03921509,0.03047559,21.17647171,35.68627548,14.06866074,85,68.62744904,42.74509811,1704.5,46,6.27450991,22.35294151,21.5,-6.02,9.27,0.12321,-0.728,25,-3.53,0.556,26
2,-1.35124004,9.24507523,3.78188562,0.04649013,58.03921509,0.03047559,23.52941132,38.03921509,14.06866074,85,80,58.03921509,1871,46,6.27450991,22.35294151,21.5,-4.51,9.27,2.4642,-0.891,25,1.52,0,27
2,-1.35124004,9.24507523,3.78188562,0.04649013,59.2156868,0.03047559,23.52941132,37.64706039,14.06866074,85,80,58.03921509,1871,46,7.84313726,24.70588303,20.5,-5.52,9.27,0.49284,-0.972,25,-1.01,1.11,27
2,-1.35124004,9.24507523,3.78188562,0.04649013,59.2156868,0.03047559,23.52941132,37.64706039,14.06866074,85,77.2549057,48.62745285,2087.5,46,6.66666698,23.52941132,23,-6.02,9.27,9.8568,-0.321,25,-0.506,0,29
2,-1.35124004,9.24507523,3.78188562,0.04649013,57.64706039,0.03047559,22.74509811,37.25490189,14.06866074,85,77.2549057,42.74509811,2276.5,46,6.66666698,23.52941132,23,-1.99,9.27,0.12321,-0.403,25,4.04,2.22,29
2,-1.35124004,9.24507523,3.78188562,0.04649013,57.64706039,0.03047559,22.74509811,37.25490189,14.06866074,85,67.84313965,42.74509811,2276.5,46,5.49019623,22.74509811,30,-2.49,9.27,2.58741,-0.24,25,-0.503,0,33
2,-1.35124004,9.24507523,3.78188562,0.04649013,56.07843399,0.03047559,21.96078491,36.86274719,14.06866074,85,67.84313965,36.47058868,2444.5,46,5.49019623,22.74509811,30,-1.48,9.27,2.4642,-0.24,25,1.01,1.11,33
2,-1.35124004,9.24507523,3.78188562,0.04649013,55.29411697,0.03047559,21.56862831,36.07843018,14.06866074,85,58.03921509,36.47058868,2444.5,46,4.70588255,21.56862831,38.5,-1.48,9.27,0,-0.0772,25,0,1.11,35
2,-1.35124004,9.24507523,3.78188562,0.04649013,55.29411697,0.03047559,21.56862831,36.07843018,14.06866074,85,52.15686417,31.37254906,2538.25,46,5.49019623,21.96078491,39,-0.478,9.27,0.27889,0.329,25,1.01,0,37
2,-1.35124004,9.24507523,3.78188562,0.04649013,56.07843399,0.03047559,21.96078491,36.07843018,14.06866074,85,51.76470566,32.54901886,2612.5,46,5.49019623,21.96078491,39,2.04,9.27,5.5778,0.0855,25,2.52,0,37
2,-1.35124004,9.24507523,3.78188562,0.04649013,52.94117737,0.03047559,20,36.07843018,14.06866074,85,51.76470566,32.54901886,2612.5,46,3.13725495,20,39.5,0.528,9.27,22.5,0.00411,25,-1.51,1.67,37
2,-1.35124004,9.24507523,3.78188562,0.04649013,52.94117737,0.03047559,20,34.50980377,14.06866074,85,29.80392265,18.43137169,2636.5,46,3.13725495,20,39.5,0.0254,9.27,451.51321,-0.0772,25,-0.503,0,40
2,-1.35124004,9.24507523,3.78188562,0.04649013,49.01960754,0.03047559,18.03921509,32.54901886,14.06866074,85,29.80392265,9.01960754,2636.5,46,0,16.86274529,23,-0.478,9.03,30.54309,0.741,25,-0.503,-15,40
3,-3.34165096,8.98117352,3.5115478,0.05935019,60.39215851,-0.0002288,25.09803963,39.60784531,14.06866074,86,78.03921509,50.58823395,2085,46,8.62745094,25.49019623,23.5,4.7,9.52,5.5778,0.432,25,-6.04,3.89,13
3,-2.87117934,9.64264774,4.05611515,0.12479764,58.03921509,0.055748,19.6078434,39.60784531,14.06866074,86,74.50980377,50.58823395,2653.75,46,7.45098066,24.31372643,35.5,2.6,9.4,0.12321,0.741,25,-2.11,1.67,20
3,-3.19615364,7.78411293,4.01719618,-0.0304938,58.03921509,0.09483328,19.6078434,30.58823586,14.06866074,86,25.88235283,11.76470566,2846.75,46,7.45098066,24.31372643,20.5,4.52,9.52,3.23704,0.277,25,1.92,0,23
3,-3.08089328,10.12599277,3.46544361,0.15428919,60,0.0261933,25.09803963,39.2156868,14.06866074,86,25.88235283,56.86274338,2846.75,46,8.62745094,25.09803963,20.5,1.67,9.64,15.4568,0.277,25,-2.85,1.11,23
3,-2.80591512,9.28339481,3.27623701,0.06248778,62.74509811,0.04171537,25.09803963,39.2156868,14.06866074,86,76.07843018,56.86274338,2137.5,46,10.58823586,26.27450943,21.5,1.65,9.77,0.49284,0.741,25,-0.0213,2.78,25
3,-2.3044579,9.2365427,2.96069312,0.03525382,62.74509811,-0.11530433,25.09803963,39.2156868,14.06866074,86,76.07843018,55.29411697,2157,46,10.58823586,26.27450943,21.5,4.35,9.27,9.98001,0.123,25,2.7,0,30
3,-2.38049984,9.07592678,3.57980585,0.04271263,58.8235321,0.05630968,23.13725471,37.64706039,14.06866074,86,76.86274719,44.31372452,2157,46,8.62745094,25.09803963,23,0.76,9.15,2.4642,0.277,25,-3.59,2.22,30
3,-2.08202052,9.14403534,4.39081907,0.07456273,53.72549057,0.04812322,23.13725471,37.64706039,14.06866074,86,60,44.31372452,2356.25,46,3.92156863,20.3921566,36.5,1.74,8.91,0.12321,-0.0313,25,0.977,1.11,34
3,-1.87949157,8.50725937,4.25160885,0.00721991,53.72549057,-0.01144247,21.17647171,36.47058868,14.06866074,86,50.19607925,30.98039246,2428,46,3.92156863,20.3921566,36.5,-0.201,8.91,2.4951136,-0.34,25,-1.94,0,36
3,-0.7765851,8.96306133,4.38198757,0.02224845,54.90196228,0.02735648,21.17647171,35.68627548,14.06866074,86,50.19607925,26.66666603,2428,46,4.70588255,20.3921566,40,-2.19,9.15,0.618272,0.123,25,-1.99,1.11,36
3,-0.40790176,8.95123577,4.61205912,0.05735785,52.54901886,0.03871263,21.17647171,35.68627548,14.06866074,85,45.09804153,26.66666603,2500,46,3.13725495,19.2156868,40.5,0.77,8.66,0.12321,0.123,25,2.96,-0.556,38
3,-0.75877213,8.87863636,4.67028809,0.05570024,52.54901886,0.01365485,20,34.90196228,14.06866074,85,32.94117737,17.64705849,2501.5,46,3.13725495,19.2156868,40.5,0.814,8.41,2.58741,-0.186,25,0.0438,0,37
3,-0.6101312,8.74152184,4.93194389,0.02763122,52.15686417,0.03776746,19.6078434,34.50980377,14.06866074,85,32.94117737,16.47058868,2470.25,46,2.74509811,19.6078434,39,-1.26,8.54,2.4642,-0.958,25,-2.08,1.11,37
3,-0.93465638,8.72550488,5.37053204,0.06776386,52.15686417,0.04912215,19.6078434,34.50980377,14.21369839,85,27.45098114,16.47058868,2470.25,46,0.39215687,16.47058868,22.5,-6.44,8.91,0.0309136,-0.34,25,-5.18,-1.11,39
3,-1.10410404,8.43480968,5.32951736,0.04227895,49.41176605,0.06004278,18.4313736,32.94117737,14.21369839,85,20.3921566,10.5882349,2375.75,46,0.39215687,16.47058868,22.5,-2.19,8.29,0.618272,-0.0313,25,4.25,0,37
3,-0.82373703,8.71921825,5.49028301,0.0726859,49.41176605,0.05619897,16.86274529,31.76470566,14.21369839,85,20.3921566,9.8039217,2375.75,46,0,16.86274529,19.5,-0.216,8.66,0,0.123,25,1.97,-0.556,37
3,-0.51852173,8.66069031,5.37247801,0.05925459,49.01960754,0.07534921,15.68627453,31.76470566,14.21369839,85,21.56862831,9.8039217,2269.5,46,0,16.86274529,18,0.814,8.41,0.27889,0.432,25,1.03,0,36
3,-0.60219771,8.51803684,5.49971342,0.05438107,49.01960754,0.03573471,15.68627453,30.58823586,14.21369839,85,23.13725471,10.1960783,1771.75,46,0,16.86274529,19.5,2.94,8.54,5.85669,0.741,25,2.13,0,36
3,-0.635728,8.36685085,5.97662163,0.06913871,49.80392075,0.03714536,15.29411793,30.58823586,14.21369839,85,23.13725471,25.88235283,1771.75,46,0,16.86274529,19.5,4.98,8.41,5.5778,1.98,25,2.03,-1.67,36
3,-0.58633071,8.09097481,6.12840605,0.05537695,49.01960754,0.06079578,15.29411793,30.58823586,14.21369839,85,40,25.88235283,928.75,46,0,16.86274529,18,13.6,8.91,0.12321,1.82,25,8.6,-1.67,33
3,0.59830582,8.33870983,6.0875411,0.07319707,49.01960754,0.05111156,15.68627453,30.58823586,14.21369839,85,45.09804153,27.05882263,793.75,46,0,16.86274529,15,11.8,8.54,2.58741,1.36,25,-1.78,0,30
3,2.11555076,8.95003796,5.16426086,0.09417146,49.01960754,0.05773668,15.29411793,30.58823586,14.21369839,85,45.09804153,26.66666603,806.25,46,0,16.86274529,15,9.15,8.78,2.4642,0.741,25,-2.65,-1.11,30
